"2201.00727","Thomas Wachtler","Malin Sandstr\""om, Mathew Abrams, Jan Bjaalie, Mona Hicks, David
  Kennedy, Arvind Kumar, JB Poline, Prasun Roy, Paul Tiesinga, Thomas Wachtler,
  Wojtek Goscinski","Recommendations for repositories and scientific gateways from a
  neuroscience perspective","10 pages, submitted to Scientific Data",,,,"cs.CY cs.DL q-bio.NC","http://creativecommons.org/licenses/by/4.0/","  Digital services such as repositories and science gateways have become key
resources for the neuroscience community, but users often have a hard time
orienting themselves in the service landscape to find the best fit for their
particular needs. INCF (International Neuroinformatics Coordinating Facility)
has developed a set of recommendations and associated criteria for choosing or
setting up and running a repository or scientific gateway, intended for the
neuroscience community, with a FAIR neuroscience perspective. These
recommendations have neurosciences as their primary use case but are often
general. Considering the perspectives of researchers and providers of
repositories as well as scientific gateways, the recommendations harmonize and
complement existing work on criteria for repositories and best practices. The
recommendations cover a range of important areas including accessibility,
licensing, community responsibility and technical and financial sustainability
of a service.
","[{""version"":""v1"",""created"":""Mon, 3 Jan 2022 16:01:26 GMT""}]","2022-01-04"
"2201.00728","Serge Yagunov A","Serge Yagunov","Suslin's work on the K-theory of local fields. Revisited",,,,,"math.KT","http://creativecommons.org/licenses/by-nc-nd/4.0/","  The purpose of this short paper is to generalize Suslin's results in the
K-theory of local fields to the case of other K-functors. The primary attention
paid to hermitian and symplectic K-theories. Most of Suslin's arguments work,
with slight modification, in these cases. In particular, we are using his
original concept of the universal homotopy. In this text, we mostly concentrate
on the case of Discrete Valuation Rings. It enables us to apply a new approach
to the computation of homology groups that is much simpler than the
  original one of Suslin~\cite[section 3]{suslin1984k}. However, the general
case can also be proven with the help of more complicated computations, which
are omitted here.
","[{""version"":""v1"",""created"":""Mon, 3 Jan 2022 16:03:12 GMT""}]","2022-01-04"
"2201.00729","\'Etienne Dumur","\'E. Dumur, K. J. Satzinger, G. A. Peairs, M.-H. Chou, A. Bienfait,
  H.-S. Chang, C. R. Conner, J. Grebel, R. G. Povey, Y. P. Zhong and A. N.
  Cleland","Quantum communication with itinerant surface acoustic wave phonons","15 pages, 9 figures","npj Quantum Inf 7, 173 (2021)","10.1038/s41534-021-00511-1",,"quant-ph cond-mat.mes-hall","http://creativecommons.org/licenses/by/4.0/","  Surface acoustic waves are commonly used in classical electronics
applications, and their use in quantum systems is beginning to be explored, as
evidenced by recent experiments using acoustic Fabry-P\'erot resonators. Here
we explore their use for quantum communication, where we demonstrate a
single-phonon surface acoustic wave transmission line, which links two
physically-separated qubit nodes. Each node comprises a microwave phonon
transducer, an externally-controlled superconducting variable coupler, and a
superconducting qubit. Using this system, precisely-shaped individual itinerant
phonons are used to coherently transfer quantum information between the two
physically-distinct quantum nodes, enabling the high-fidelity node-to-node
transfer of quantum states as well as the generation of a two-node Bell state.
We further explore the dispersive interactions between an itinerant phonon
emitted from one node and interacting with the superconducting qubit in the
remote node. The observed interactions between the phonon and the remote qubit
promise future quantum optics-style experiments with itinerant phonons.
","[{""version"":""v1"",""created"":""Mon, 3 Jan 2022 16:04:23 GMT""}]","2022-01-04"
"2201.00730","Thibault Sejourne","Thibault S\'ejourn\'e, Fran\c{c}ois-Xavier Vialard and Gabriel Peyr\'e","Faster Unbalanced Optimal Transport: Translation invariant Sinkhorn and
  1-D Frank-Wolfe","22 pages, 8 figures",,,,"math.OC cs.LG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Unbalanced optimal transport (UOT) extends optimal transport (OT) to take
into account mass variations to compare distributions. This is crucial to make
OT successful in ML applications, making it robust to data normalization and
outliers. The baseline algorithm is Sinkhorn, but its convergence speed might
be significantly slower for UOT than for OT. In this work, we identify the
cause for this deficiency, namely the lack of a global normalization of the
iterates, which equivalently corresponds to a translation of the dual OT
potentials. Our first contribution leverages this idea to develop a provably
accelerated Sinkhorn algorithm (coined 'translation invariant Sinkhorn') for
UOT, bridging the computational gap with OT. Our second contribution focusses
on 1-D UOT and proposes a Frank-Wolfe solver applied to this translation
invariant formulation. The linear oracle of each steps amounts to solving a 1-D
OT problems, resulting in a linear time complexity per iteration. Our last
contribution extends this method to the computation of UOT barycenter of 1-D
measures. Numerical simulations showcase the convergence speed improvement
brought by these three approaches.
","[{""version"":""v1"",""created"":""Mon, 3 Jan 2022 16:07:57 GMT""}]","2022-01-04"
"2201.00731","Ervin Lenzi","G. Barbero, L. R. Evangelista, E. K. Lenzi","Time-Fractional Approach to the Electrochemical Impedance: The
  Displacement Current",,,,,"physics.chem-ph cond-mat.mtrl-sci physics.app-ph","http://creativecommons.org/licenses/by/4.0/","  We establish, in general terms, the conditions to be satisfied by a
time-fractional approach formulation of the Poisson-Nernst-Planck model in
order to guarantee that the total current across the sample be solenoidal, as
required by the Maxwell equation. Only in this case the electric impedance of a
cell can be determined as the ratio between the applied difference of potential
and the current across the cell. We show that in the case of anomalous
diffusion, the model predicts for the electric impedance of the cell a constant
phase element behaviour in the low frequency region. In the parametric curve of
the reactance versus the resistance, the slope coincides with the order of the
fractional time derivative.
","[{""version"":""v1"",""created"":""Mon, 3 Jan 2022 16:08:10 GMT""}]","2022-01-04"
"2201.00732","Michele Buzzicotti","Michele Buzzicotti and Fabio Bonaccorso","Classifying Turbulent Environments via Machine Learning",,,,,"physics.flu-dyn cs.LG nlin.CD physics.comp-ph","http://creativecommons.org/licenses/by/4.0/","  The problem of classifying turbulent environments from partial observation is
key for some theoretical and applied fields, from engineering to earth
observation and astrophysics, e.g. to precondition searching of optimal control
policies in different turbulent backgrounds, to predict the probability of rare
events and/or to infer physical parameters labelling different turbulent
set-ups. To achieve such goal one can use different tools depending on the
system's knowledge and on the quality and quantity of the accessible data. In
this context, we assume to work in a model-free setup completely blind to all
dynamical laws, but with a large quantity of (good quality) data for training.
As a prototype of complex flows with different attractors, and different
multi-scale statistical properties we selected 10 turbulent 'ensembles' by
changing the rotation frequency of the frame of reference of the 3d domain and
we suppose to have access to a set of partial observations limited to the
instantaneous kinetic energy distribution in a 2d plane, as it is often the
case in geophysics and astrophysics. We compare results obtained by a Machine
Learning (ML) approach consisting of a state-of-the-art Deep Convolutional
Neural Network (DCNN) against Bayesian inference which exploits the information
on velocity and enstrophy moments. First, we discuss the supremacy of the ML
approach, presenting also results at changing the number of training data and
of the hyper-parameters. Second, we present an ablation study on the input data
aimed to perform a ranking on the importance of the flow features used by the
DCNN, helping to identify the main physical contents used by the classifier.
Finally, we discuss the main limitations of such data-driven methods and
potential interesting applications.
","[{""version"":""v1"",""created"":""Mon, 3 Jan 2022 16:08:48 GMT""},{""version"":""v2"",""created"":""Tue, 18 Oct 2022 10:36:51 GMT""}]","2022-10-19"
"2201.00733","Kayla Owens","Kayla A. Owens, Wendy L. Freedman, Barry F. Madore, and Abigail J. Lee","Current Challenges in Cepheid Distance Calibrations Using Gaia EDR3","23 pages, 9 figures, 11 tables. Accepted for publication in ApJ",,"10.3847/1538-4357/ac479e",,"astro-ph.GA","http://creativecommons.org/licenses/by/4.0/","  Using parallaxes from Gaia Early Data Release 3 (EDR3), we determine
multi-wavelength BVI, JHK, and [3.6] & [4.5] micron absolute magnitudes for 37
nearby Milky Way Cepheids, covering the period range between 5 and 60 days. We
apply these period-luminosity relations to Cepheids in the Large and Small
Magellanic Clouds, and find that the derived distances are significantly
discrepant with the geometric distances according to detached eclipsing
binaries (DEBs). We explore several potential causes of these issues, including
reddening, metallicity, and the existence of an additional zero-point offset,
but none provide a sufficient reconciliation with both DEB distances. We
conclude that the combination of the systematic uncertainties on the EDR3
parallaxes with the uncertainties on the effect of metallicity on the Cepheid
distance scale leads to a systematic error floor of approximately 3%. We
therefore find that the EDR3 data is not sufficiently accurate in the regime of
these bright Cepheids to determine extragalactic distances precise to the 1%
level at this time, in agreement with a number of contemporary studies.
","[{""version"":""v1"",""created"":""Mon, 3 Jan 2022 16:09:34 GMT""}]","2022-03-09"
"2201.00734","Habib Rostami","Pankaj Bhalla and Habib Rostami","Second Harmonic Helicity and Faraday Rotation in Gated Single-Layer
  1T$'$-WTe$_2$","10 pages, 5 figures",,"10.1103/PhysRevB.105.235132",,"cond-mat.mes-hall","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Single-layer of 1T$'$ phase of WTe$_2$ provides a rich platform for exotic
physical properties such as nonlinear Hall effect and high-temperature quantum
spin hall transport. Utilizing a continuum model and diagrammatic method, we
calculate the second harmonic conductivity of monolayer 1T$'$-WTe$_2$ modulated
by an external vertical electric field and electron doping. We obtain a finite
helicity and Faraday rotation for the second harmonic signal in response to
linearly polarized incident light in the presence of time-reversal symmetry.
The second harmonic signal's helicity is highly controllable by altering the
bias potential and serves as an optical indicator of the nonlinear Hall
current. Our study motivates future experimental investigation for the helicity
spectroscopy of two dimensional materials.
","[{""version"":""v1"",""created"":""Mon, 3 Jan 2022 16:09:36 GMT""}]","2022-07-13"
"2201.00735","Letizia Ferbel","Letizia Ferbel, Stefano Veronesi, Stefan Heun","Rb-induced (3x1) and (6x1) reconstructions on Si(111)-(7x7): A LEED and
  STM study","23 pages, 8 figures, for associated Supporting Information see this
  URL https://ars.els-cdn.com/content/image/1-s2.0-S0039602821002144-mmc1.pdf","Surface Science, 718, 2022, 122011","10.1016/j.susc.2021.122011",,"cond-mat.mtrl-sci physics.app-ph","http://creativecommons.org/licenses/by/4.0/","  We present a study of the rubidium adsorption on the Si(111)-(7x7) surface
and the related Rb-induced reconstructions as a function of deposition
temperature and Rb-coverage via scanning tunneling microscopy (STM) and
low-energy electron diffraction (LEED). Sample analysis via LEED allowed to
observe for the first time a Rb/Si(111)-(6x1) reconstruction. The STM image
analysis allowed to obtain the first real space characterization of the
Rb/Si(111)-(3x1) surface. In addition, STM provided a direct and local
information on the surface arrangement as well as further insights on the
interaction between Si and Rb atoms and on the growth dynamics.
","[{""version"":""v1"",""created"":""Mon, 3 Jan 2022 16:09:55 GMT""}]","2022-01-04"
"2201.00736","Oliviero Riganelli","Davide Ginelli, Oliviero Riganelli, Daniela Micucci, Leonardo Mariani","Exception-Driven Fault Localization for Automated Program Repair","In Proc. of the IEEE International Conference on Software Quality,
  Reliability and Security (QRS 2021). For associated video presentation, see
  https://youtu.be/PulKnHk-kp4",,,,"cs.SE","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Automated Program Repair (APR) techniques typically exploit spectrum-based
fault localization (SBFL) to identify the program locations that should be
patched, making the effectiveness of APR techniques dependent on the
effectiveness of fault localization. Indeed, results show that SBFL often does
not localize faults accurately, hindering the effectiveness of APR. In this
paper, we propose EXCEPT, a technique that addresses the localization problem
by focusing on the semantics of failures rather than on the correlation between
the executed statements and the failed tests, as SBFL does. We focus on
failures due to exceptions and we exploit their type and source to localize and
guess the faults. Experiments with 43 exception-raising faults from the
Defects4J benchmark show that EXCEPT can perform better than Ochiai and ssFix.
","[{""version"":""v1"",""created"":""Mon, 3 Jan 2022 16:10:36 GMT""}]","2022-01-04"
"2201.00737","Stephen Cantrell","Stephen Cantrell and Cagri Sert","Counting and boundary limit theorems for representations of
  Gromov-hyperbolic groups","52 pages, no figures, newest version has a extra section (9.2)
  outlining applications",,,,"math.DS math.GR math.PR","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Given a Gromov-hyperbolic group $G$ endowed with a finite symmetric
generating set, we study the statistics of counting measures on the spheres of
the associated Cayley graph under linear representations of $G$. More
generally, we obtain a weak law of large numbers for subadditive functions,
echoing the classical Fekete lemma. For strongly irreducible and proximal
representations, we prove a counting central limit theorem with a Berry--Esseen
type error rate and exponential large deviation estimates. Moreover, in the
same setting, we show convergence of interpolated normalized matrix norms along
geodesic rays to Brownian motion and a functional law of iterated logarithm,
paralleling the analogous results in the theory of random matrix products. Our
counting large deviation estimates provide a positive answer to a question of
Kaimanovich--Kapovich--Schupp. In most cases, our counting limit theorems will
be obtained from stronger almost sure limit laws for Patterson--Sullivan
measures on the boundary of the group.
","[{""version"":""v1"",""created"":""Mon, 3 Jan 2022 16:11:47 GMT""},{""version"":""v2"",""created"":""Fri, 7 Jan 2022 19:33:24 GMT""},{""version"":""v3"",""created"":""Sat, 19 Feb 2022 16:51:16 GMT""}]","2022-02-22"
